team_id,team_name,kenpom_name
1319,Northern Arizona,Northern Arizona
1320,Northern Iowa,Northern Iowa
1321,Northwestern,Northwestern
1322,Northwestern LA,Northwestern St.
1323,Notre Dame,Notre Dame
1324,Oakland,Oakland
1325,Ohio,Ohio
1326,Ohio St,Ohio St.
1328,Oklahoma,Oklahoma
1329,Oklahoma St,Oklahoma St.
1330,Old Dominion,Old Dominion
1331,Oral Roberts,Oral Roberts
1332,Oregon,Oregon
1333,Oregon St,Oregon St.
1334,Pacific,Pacific
1335,Penn,Penn
1336,Penn St,Penn St.
1337,Pepperdine,Pepperdine
1338,Pittsburgh,Pittsburgh
1339,Portland,Portland
1340,Portland St,Portland St.
1341,Prairie View,Prairie View A&M
1342,Presbyterian,Presbyterian
1343,Princeton,Princeton
1344,Providence,Providence
1345,Purdue,Purdue
1346,Quinnipiac,Quinnipiac
1347,Radford,Radford
1348,Rhode Island,Rhode Island
1349,Rice,Rice
1350,Richmond,Richmond
1351,Rider,Rider
1352,Robert Morris,Robert Morris
1353,Rutgers,Rutgers
1354,S Carolina St,South Carolina St.
1355,S Dakota St,South Dakota St.
1356,S Illinois,Southern Illinois
1357,Sacred Heart,Sacred Heart
1358,Sam Houston St,Sam Houston St.
1359,Samford,Samford
1360,San Diego,San Diego
1361,San Diego St,San Diego St.
1362,San Francisco,San Francisco
1363,San Jose St,San Jose St.
1364,Santa Barbara,UC Santa Barbara
1365,Santa Clara,Santa Clara
1366,Savannah St,Savannah St.
1367,SC Upstate,USC Upstate
1368,SE Louisiana,Southeastern Louisiana
1369,SE Missouri St,Southeast Missouri St.
1370,Seattle,Seattle
1371,Seton Hall,Seton Hall
1372,SF Austin,Stephen F. Austin
1373,Siena,Siena
1374,SMU,SMU
1375,South Alabama,South Alabama
1376,South Carolina,South Carolina
1377,South Dakota,South Dakota
1378,South Florida,South Florida
1379,Southern Miss,Southern Miss
1380,Southern Univ,Southern
1381,Southern Utah,Southern Utah
1382,St Bonaventure,St. Bonaventure
1383,St Francis NY,St. Francis NY
1384,St Francis PA,St. Francis PA
1385,St John's,St. John's
1386,St Joseph's PA,Saint Joseph's
1387,St Louis,Saint Louis
1388,St Mary's CA,Saint Mary's
1389,St Peter's,Saint Peter's
1390,Stanford,Stanford
1391,Stetson,Stetson
1392,Stony Brook,Stony Brook
1393,Syracuse,Syracuse
1394,TAM C. Christi,Texas A&M Corpus Chris
1395,TCU,TCU
1396,Temple,Temple
1397,Tennessee,Tennessee
1398,Tennessee St,Tennessee St.
1399,Tennessee Tech,Tennessee Tech
1400,Texas,Texas
1401,Texas A&M,Texas A&M
1402,Texas St,Texas St.
1403,Texas Tech,Texas Tech
1404,TN Martin,Tennessee Martin
1405,Toledo,Toledo
1406,Towson,Towson
1407,Troy,Troy
1408,Tulane,Tulane
1409,Tulsa,Tulsa
1410,UTRGV,UT Rio Grande Valley
1411,TX Southern,Texas Southern
1412,UAB,UAB
1413,UC Davis,UC Davis
1414,UC Irvine,UC Irvine
1415,UC Riverside,UC Riverside
1416,UCF,UCF
1417,UCLA,UCLA
1418,ULL,Louisiana Lafayette
1419,ULM,Louisiana Monroe
1420,UMBC,UMBC
1421,UNC Asheville,UNC Asheville
1422,UNC Greensboro,UNC Greensboro
1423,UNC Wilmington,UNC Wilmington
1424,UNLV,UNLV
1425,USC,USC
1426,UT Arlington,UT Arlington
1427,UT San Antonio,UTSA
1428,Utah,Utah
1429,Utah St,Utah St.
1430,Utah Valley,Utah Valley
1431,UTEP,UTEP
1433,VA Commonwealth,VCU
1434,Valparaiso,Valparaiso
1435,Vanderbilt,Vanderbilt
1436,Vermont,Vermont
1437,Villanova,Villanova
1438,Virginia,Virginia
1439,Virginia Tech,Virginia Tech
1440,VMI,VMI
1441,W Carolina,Western Carolina
1442,W Illinois,Western Illinois
1443,WKU,Western Kentucky
1444,W Michigan,Western Michigan
1447,Wagner,Wagner
1448,Wake Forest,Wake Forest
1449,Washington,Washington
1450,Washington St,Washington St.
1451,Weber St,Weber St.
1452,West Virginia,West Virginia
1453,WI Green Bay,Green Bay
1454,WI Milwaukee,Milwaukee
1455,Wichita St,Wichita St.
1456,William & Mary,William & Mary
1457,Winthrop,Winthrop
1458,Wisconsin,Wisconsin
1459,Wofford,Wofford
1460,Wright St,Wright St.
1461,Wyoming,Wyoming
1462,Xavier,Xavier
1463,Yale,Yale
1464,Youngstown St,Youngstown St.
